nim,nama,fakultas,jurusan,kelas
1122334401,Ahmad Fauzi,Sains dan Teknologi,Ilmu Komputer,TI-A
1122334402,Budi Santoso,Sains dan Teknologi,Ilmu Komputer,TI-B
1122334403,Citra Kirana,Sains dan Teknologi,Biologi,BIO-A
1122334404,Dewi Lestari,Sains dan Teknologi,Biologi,BIO-B
1122334405,Eko Prasetyo,Sains dan Teknologi,Kimia,KIM-A
1122334406,Fajar Nugroho,Sains dan Teknologi,Fisika,FIS-A
1122334407,Gita Gutawa,Sains dan Teknologi,Matematika,MAT-A
1122334408,Hadi Wijaya,Sains dan Teknologi,Ilmu Komputer,TI-A
1122334409,Indah Permatasari,Sains dan Teknologi,Biologi,BIO-A
1122334410,Joko Susilo,Sains dan Teknologi,Kimia,KIM-B
1122334411,Kurnia Meiga,Sains dan Teknologi,Fisika,FIS-B
1122334412,Lina Mariana,Sains dan Teknologi,Matematika,MAT-B
1122334413,Muhammad Ridwan,Sains dan Teknologi,Ilmu Komputer,TI-C
1122334414,Nadia Vega,Sains dan Teknologi,Biologi,BIO-C
1122334415,Oka Antara,Sains dan Teknologi,Teknik Arsitektur,ARS-A
1122334416,Putri Titian,Sains dan Teknologi,Teknik Arsitektur,ARS-B
1122334417,Qoriatul Husna,Sains dan Teknologi,Kimia,KIM-A
1122334418,Rafi Ahmad,Sains dan Teknologi,Ilmu Komputer,TI-A
1122334419,Siti Aminah,Sains dan Teknologi,Matematika,MAT-A
1122334420,Taufik Hidayat,Sains dan Teknologi,Fisika,FIS-A
